,time,lng,lat,elev,dist_cum,kmph,rouad_grad_deg_f
345,4038.0582251885508,4.19961,48.22548,132.7,140917.93961724083,120.14161693943498,-0.053848290801987615
346,4041.530599931649,4.20106,48.22511,132.49,141032.96320253093,119.25121499846142,-0.10460550589552323
347,4066.1951842820617,4.21136,48.22254,130.81,141847.75286341354,118.92528726632678,-0.11813695950752717
348,4127.501955211315,4.23633,48.21511,129.18,143873.82542338374,118.97317548023715,-0.046095141063789334
349,4156.592149114776,4.24666,48.20976,130.89,144843.243739106,119.96846594360827,0.10106646404483616
350,4158.542030794658,4.24728,48.20935,131.23,144907.96848222267,119.49908429016375,0.3009727797455831
351,4160.1294463542135,4.24779,48.20902,131.62,144960.6453498908,119.46255815859975,0.42418896064449096
352,4163.438449414097,4.24884,48.20831,132.2,145071.49304339444,120.59574723605986,0.29979197401770635
353,4208.106408605213,4.26273,48.19872,142.7,146553.67735320714,119.45617422313056,0.40588448908912356
354,4210.499408297265,4.26355,48.19825,143.29,146633.8357056251,120.5892627830579,0.4217140004649426
355,4212.855375617693,4.26436,48.19779,144.34,146712.71315096208,120.5274796263009,0.7626643465685117
356,4234.607930757792,4.2717,48.19345,147.1,147439.96011444498,120.35777184227535,0.21744414234514223
357,4258.0949025259715,4.27883,48.18834,149.14,148215.9823888223,118.94595077357913,0.1506182552029944
358,4470.837834877513,4.3743,48.17698,197.42,155406.1307373471,121.6704769863613,0.3847206660267466
359,4474.805705155385,4.37591,48.17755,202.91,155541.40248669297,122.73039780582069,2.324072075738286
360,4476.238402588974,4.37649,48.17776,204.51,155590.3646767981,123.0293851626565,1.871661300678546
361,4603.7316674687245,4.43584,48.17825,216.29,159991.33288021653,124.26919608066926,0.1533623147371958
362,4606.660710416415,4.43712,48.17794,214.73,160092.31868880033,124.11866858706078,-0.8850184848657783
363,4625.126864190065,4.44511,48.17592,206.55,160725.96699372615,123.53053731135199,-0.7396112953322488
364,4627.470899403373,4.44612,48.17566,206.89,160806.24580280273,123.29324706171072,0.24265990968002324
365,4635.752962741053,4.44971,48.17475,209.56,161091.04286496155,123.79396075217096,0.5371377375038868
366,4646.88636943935,4.45451,48.17353,213.1,161471.9666615141,123.17215249119397,0.5324456562224691
367,4704.483454713946,4.48045,48.16893,229.19,163462.49783617325,124.41449414686869,0.4631271423305521
368,4705.9636278440175,4.48111,48.1688,229.68,163513.53579066225,124.13185486721034,0.5500625897495054
369,4717.83252120531,4.48639,48.16774,238.51,163922.55574166428,124.0614250027309,1.2367200155065545
370,4791.076451248098,4.52037,48.16567,280.56,166453.45991180255,124.39604220001644,0.9518597751367212
371,4793.547656703599,4.52151,48.16572,282.08,166538.20384565543,123.45317593531297,1.0275690942202371
372,4802.419019620129,4.52561,48.16589,289.69,166842.96027544673,123.67019110497068,1.43042196338426
373,4805.125894641146,4.52687,48.16594,292.34,166936.6100764548,124.54926105245731,1.6208609983512632
374,4865.255110758191,4.55425,48.16907,292.57,168996.7778139082,123.34442944334305,0.006396580721893034
375,4870.8574989379795,4.55673,48.16956,294.6,169188.604937468,123.26486895473461,0.606306807653034
376,4874.178662926278,4.55821,48.16983,296.11,169302.40223142478,123.35140923117875,0.760225018343769
377,4876.295720042342,4.55917,48.16999,297.11,169375.7906304782,124.79504430355276,0.7806715309666941
378,4949.879359866753,4.59287,48.16481,312.27,171940.61459683254,125.48123877683616,0.3386563419580375
379,4957.595477476117,4.59534,48.16308,313.79,172206.259298979,123.93809635128947,0.3278387775990315
380,4969.555658337532,4.59886,48.16016,315.89,172622.90111047713,125.40868225764851,0.2887855101620224
381,4978.721476252703,4.60127,48.15777,316.74,172943.18556936615,125.7960896312345,0.15205638893199583
382,4980.813348407921,4.60179,48.15721,316.77,173016.4333111976,126.0554426977743,0.023466570385674304
383,4982.780405380618,4.60227,48.15668,317.25,173085.28887695205,126.01568747455086,0.399408942162765
384,5007.139444146246,4.60803,48.15002,319.36,173940.27932409977,126.35825408985099,0.14139789485088983
385,5019.7340854944705,4.61101,48.14661,326.53,174379.25958876606,125.47629655380365,0.9357464250791779
386,5021.401015806913,4.61143,48.14617,327.46,174437.2733433635,125.28989064016749,0.9184117037834079
387,5029.673728374995,4.61374,48.14408,333.21,174726.09130097736,125.68364231842376,1.140535784171536
388,5031.215180663141,4.61422,48.14372,334.17,174779.67958748605,125.15329401688827,1.0263075946678697
389,5084.298219884505,4.63761,48.13781,260.09,176636.96194449373,125.9576803307181,-2.2841021542583264
390,5088.8687797850325,4.63973,48.13749,254.4,176798.3512010638,127.11819477199124,-2.0192050801115062
391,5101.1149974385835,4.64528,48.13625,248.6,177232.70285928165,127.68562619257693,-0.7650385704689453
392,5102.668415214448,4.64596,48.13605,248.63,177287.8470908842,127.79513460807316,0.03117049899625166
393,5105.290888486667,4.64711,48.13571,248.86,177381.18570612505,128.1305775073338,0.14118489525152852
394,5113.5411359125965,4.65067,48.13457,249.43,177674.20763318017,127.86027896365546,0.11145429783208863
395,5123.318961327607,4.65488,48.13321,250.4,178021.3105489392,127.7963599978056,0.16011608928622384
396,5125.514531495532,4.65582,48.13291,251.88,178098.64949506902,126.80997862645147,1.0963092854528405
397,5127.477134107832,4.65666,48.13264,253.42,178167.85781034076,126.948743172282,1.2747159291215924
398,5129.117382753521,4.65736,48.13241,255.15,178225.7866004589,127.14148246570797,1.7105871900155931
399,5131.127984053531,4.65823,48.13214,257.61,178297.03324654407,127.56777084813741,1.9775196980058896
400,5133.39848362714,4.65922,48.13184,261.29,178377.80671467382,128.07070683777158,2.6085640619286865
401,5159.576142376871,4.67129,48.12938,291.77,179314.91595956948,128.87299486471892,1.862920382668954
402,5165.554242522059,4.67413,48.12902,296.98,179529.52416444814,129.23663351224533,1.3906848919763823
403,5166.998914972042,4.67481,48.12894,298.27,179580.78642923175,127.74117290266376,1.4415274081458214
404,5190.490624968054,4.68587,48.12747,312.78,180417.8887794291,128.28220939310165,0.9930428622160719
405,5199.067958202476,4.68988,48.12684,315.11,180723.6544632716,128.33318139204187,0.43659766093749686
406,5202.709185759071,4.6916,48.12655,315.34,180855.32453536027,130.17924646334697,0.10008360803424524
407,5267.13151543019,4.72164,48.12028,298.52,183191.5841083161,130.5530940215521,-0.41249627062185606
408,5275.180952313988,4.72525,48.11929,287.32,183481.50432866468,129.66283335368132,-2.2123113358024398
409,5310.325226554681,4.74154,48.11548,323.83,184763.36693516347,131.30745998027797,1.6314568477191445
410,5311.816867834837,4.74224,48.11535,325.63,184817.33614013233,130.25191812043002,1.9102409956944653
411,5313.729808677825,4.74315,48.11521,327.27,184886.6821009278,130.503491406336,1.3547662323191023
412,5318.006378906074,4.7452,48.11495,330.1,185041.61715984126,130.42372329208231,1.046432150645902
413,5319.87041523968,4.7461,48.11486,330.6,185109.1785791029,130.48088438882587,0.42401961166806773
414,5322.337453246327,4.74729,48.11478,331.02,185197.96974305043,129.56759861418266,0.2710184983579261
415,5326.8949775949095,4.74953,48.11475,329.87,185364.3008795726,131.38538506458437,-0.39613206491693936
416,5329.378480196273,4.75075,48.11478,328.25,185454.9474470039,131.39814815312886,-1.0238587666444967
417,5366.552875634025,4.76879,48.11524,270.4,186796.42365850732,129.9096946848491,-2.469300923696631
418,5380.302461112639,4.77539,48.11433,245.4,187297.35955839732,131.1580805406084,-2.85706625566273
419,5382.36212569383,4.77636,48.11416,241.58,187371.90904841694,130.30187852986373,-2.933334890629356
420,5386.265038441863,4.77819,48.11382,234.5,187513.10697828108,130.23928033418858,-2.8705424947877645
421,5416.1761023780855,4.79069,48.10885,200.54,188593.76490025915,130.06453155314864,-1.7999447364185663
422,5499.438013720584,4.82421,48.09361,232.22,191605.1494465754,130.20340503767645,0.6027338289461059
423,5530.890378038241,4.83811,48.08919,263.67,192748.982367339,130.92174798564326,1.574966372108764
424,5533.095950501004,4.83918,48.0891,266.04,192829.11956394397,130.80228042763383,1.693987743925104
425,5535.208448295294,4.84021,48.08903,268.18,192906.04792581746,131.09699025163175,1.5934481379219825
426,5575.529572477204,4.85858,48.08421,299.2,194372.36482289655,130.91750134915793,1.2119140260575487
427,5598.482614630256,4.8684,48.08057,279.82,195206.83310591476,130.87963673112074,-1.3304192097209921
428,5618.243447566439,4.8776,48.07862,248.82,195924.53291032926,130.74951365847124,-2.4732705785930493
429,5620.131888214539,4.87847,48.07843,245.58,195992.6082492208,129.77438303721888,-2.724897860124006
430,5626.635552103662,4.88151,48.07778,235.76,196229.9401880821,131.3713307555122,-2.369355761342902
431,5630.23327607173,4.88317,48.07739,229.49,196360.817599608,130.96020864166883,-2.7427962899623415
432,5632.085883625705,4.88402,48.07717,227.2,196428.57758372344,131.67167665498297,-1.9356175778511158
433,5642.427567405276,4.88844,48.07557,216.78,196802.19969505703,130.0600201543478,-1.5975160138212086
434,5645.202041437739,4.88953,48.07504,216.6,196902.3556952371,129.9567400629415,-0.10297165611852674
435,5731.376155451952,4.92767,48.06349,250.35,200013.9248417651,129.98855927492747,0.6214410282690086
436,5735.966619324907,4.92984,48.06382,249.31,200179.30755622187,129.69882533050603,-0.3602965730320081
437,5749.340879691935,4.93637,48.0642,240.59,200666.47630794064,131.13304646821754,-1.0254472372759806
438,5781.836319673699,4.95114,48.06021,243.16,201850.37579807316,131.15803838534924,0.12437704659811709
439,5786.7886838583845,4.95298,48.05916,247.53,202030.23652774695,130.7453577077303,1.3918174659689555
440,5788.066021030189,4.95346,48.05889,248.96,202076.8837842727,131.46890828786783,1.7558870407464608
441,5793.4459819676385,4.95544,48.05775,253.48,202271.15973013564,129.99971807195806,1.3327960353828467
442,5797.200961338042,4.95683,48.05696,256.11,202406.79048678934,130.03286457491214,1.110876482318133
443,5803.230351652183,4.95913,48.05571,259.61,202627.13721932305,131.5635903120933,0.9100128842947366
444,5805.41434863723,4.95997,48.05528,260.67,202705.7822728246,129.63488253145982,0.7722017632647362
445,5808.19906378653,4.96104,48.05473,261.1,202806.1066370881,129.69646516243742,0.245573789640019
446,5809.366104046103,4.96149,48.0545,261.97,202848.21939596062,129.9063427311376,1.183494977054935
447,5811.200123424251,4.96221,48.05414,262.93,202915.05596690715,131.19362765432334,0.8229052665883766
448,5841.451569964952,4.97391,48.04902,274.61,203954.5556910211,123.70314265056172,0.6437582696537355
449,5843.670534356933,4.9748,48.04867,275.91,204031.32181077646,124.54369800527623,0.9701857359497783
450,5846.596782319498,4.97597,48.04822,277.81,204131.67770957726,123.46227671226866,1.084629585258423
451,5849.662987260243,4.97717,48.04775,279.61,204235.0771698855,121.40025350661116,0.9973164923497336
452,5853.448168520344,4.97864,48.04718,282.02,204361.4242516646,120.16584230703006,1.0927524713159034
453,5856.232938736718,4.97973,48.04676,284.16,204454.9706271228,120.9316839390572,1.310489961320672
454,5857.750214266649,4.98032,48.04654,285.49,204505.20785521748,119.19655828701947,1.5165166081517807
455,5859.997978395083,4.98118,48.0462,287.0,204579.49526660106,118.97808920337984,1.1644599427365954
456,5862.690112211935,4.98222,48.0458,289.17,204668.71409564232,119.30602503409105,1.3932858631473577
457,5866.596388612525,4.9837,48.04523,292.24,204795.7224744367,117.05013080763241,1.3846629615065624
458,5867.999638489006,4.98423,48.04502,293.18,204841.53160481065,117.52209788868531,1.1755402236358614
459,5869.871388088822,4.98493,48.04475,295.02,204901.63682077423,115.60241684583787,1.7534471539371899
460,5881.454250820672,4.98923,48.04312,302.85,205269.19271257982,114.23783922273223,1.2203806767698016
461,5884.785704709079,4.99048,48.04266,304.2,205375.27590082487,114.6344780611129,0.7290988187441354
462,5888.576791039729,4.99192,48.04218,305.72,205494.90660744993,113.60082738513289,0.7279477091639066
463,5890.324379231979,4.99258,48.04196,306.38,205549.7371926981,112.95001177557944,0.6896404279086367
464,5891.917376511265,4.99319,48.04177,306.99,205599.7702389829,113.06922426503445,0.6985122141315885
465,5894.297577355049,4.99411,48.04149,307.94,205674.9255881511,113.67076762118735,0.7242078227270244
466,5895.804023742083,4.99469,48.04132,308.5,205722.01003245125,112.51910518658813,0.6814166383702457
467,5899.7117434170605,4.9962,48.04091,309.72,205843.18065008102,111.62884232981067,0.5768600547101603
468,5903.023366558819,4.99749,48.04058,310.77,205945.87140330567,111.63308618877939,0.5858217042386252
469,5905.131742054656,4.99832,48.04039,311.72,206011.10162006135,111.37901231738975,0.8343854333810304
470,5907.1855684942,4.99913,48.04021,312.58,206074.5665895822,111.2430368389049,0.7763551311004954
471,5909.27268517229,4.99995,48.04003,311.85,206138.73602589226,110.68378358593831,-0.651776254707419
472,5916.94602405677,5.00302,48.03947,316.3,206375.3635332231,111.01543138073045,1.0773733397147076
473,5920.4431889182215,5.00443,48.03925,317.41,206483.01520966348,110.81720494710159,0.5907577442071151
474,5925.452132601687,5.00647,48.03898,319.0,206637.63519749496,111.12761319933759,0.5891675439286846
475,5928.484439094407,5.00771,48.03885,319.7,206730.95547677888,110.79124297907843,0.42977039690401414
476,5932.852868615772,5.0095,48.03869,320.6,206865.22534749765,110.65110063547536,0.38404318878042354
477,5937.798916883397,5.01154,48.03856,321.5,207017.58563976435,110.89601687683049,0.33844514890581184
478,5942.422081954716,5.01345,48.03848,322.15,207159.87083541977,110.79567708652861,0.2617419011322761
479,5944.976161105075,5.0145,48.03845,322.63,207238.0094078281,110.13709603727501,0.35195969662314186
480,5948.448490618366,5.01595,48.03844,323.26,207345.82225754907,111.77690870347556,0.334801745305165
481,5950.076002857023,5.01663,48.03845,323.56,207396.39233040364,111.8592278155221,0.3398953421920168
